4. Bienes Inmuebles según uso por distrito. 2024;;;;;;;
;;;;;;;
;Total;Residencial;Almacén / Aparcamiento;Comercial;Oficinas;Industrial;Resto
València;699571;418232;225441;34856;7553;4847;8642
1. Ciutat Vella;36758;19453;10727;3461;2046;199;872
2. l'Eixample;44273;25253;14373;3309;756;209;373
3. Extramurs;47137;27806;15365;2913;584;139;330
4. Campanar;37926;19143;16578;1602;291;105;207
5. la Saïdia;39897;24312;12476;2357;172;192;388
6. el Pla del Real;30459;15719;12558;1175;780;90;137
7. l'Olivereta;34335;24067;8226;1375;139;146;382
8. Patraix;49731;27612;18270;2342;772;389;346
9. Jesús;39935;25016;11941;2227;109;217;425
10. Quatre Carreres;63513;38480;21016;2098;393;550;976
11. Poblats Marítims;43501;30329;9244;1912;351;594;1071
12. Camins al Grau;56590;32093;21276;2456;300;183;282
13. Algirós;33395;20560;10620;1852;144;51;168
14. Benimaclet;25302;15429;7790;1688;125;76;194
15. Rascanya;40555;24284;13790;1590;267;282;342
16. Benicalap;38491;22204;13957;1417;123;306;484
17. Pobles del Nord;4784;3571;653;91;17;178;274
18. Pobles de l'Oest;10969;7082;2407;424;153;338;565
