7. Renta disponible media por declaración de residentes en la ciudad por código postal y tramos de base imponible. 2022;;;;;;;
;;;;;;;
;Total;Hasta 6.010,12€;6.010,13€ a 12.020,24€;12.020,25€ a 21.035,42€;21.035,43€ a 30.050,61€;30.050,62€ a 60.101,21€;Más de 60.101,21€
Total;26569;9333;15214;18985;24926;35835;90570
46001;31045;8816;15267;19049;25488;36822;92939
46002;46078;7933;16009;20188;26665;38388;118433
46003;35424;9513;15569;19246;25417;37317;105318
46004;69625;9486;16063;20789;26671;38932;196099
46005;39667;8978;15692;19939;25904;37675;107452
46006;24926;9051;15235;18835;25017;35642;72542
46007;27669;9228;15123;19131;25119;35920;85025
46008;29615;9197;15480;19437;25338;36241;77618
46009;23388;9584;15071;19004;24579;35233;71272
46010;39306;9877;15829;19952;25808;37581;108776
46011;22873;9152;15129;18819;24620;35320;72145
46012;28585;9683;15784;19346;24886;35583;106307
46013;25525;9000;15096;19099;24793;36110;76945
46014;22344;9824;14918;18958;24644;34661;65900
46015;28328;9906;15716;19158;25247;35903;82586
46016;23393;9685;14479;18975;24416;35849;76255
46017;21174;9651;15026;18795;24366;34617;64574
46018;22618;9494;15187;18800;24785;35069;69755
46019;21495;9456;15003;18631;24732;35739;69326
46020;27156;9506;15278;19042;24801;36043;75932
46021;28347;9298;15471;19163;25207;36000;80672
46022;24521;9686;15167;18958;24767;35120;70369
46023;31500;9219;15595;19261;25298;36982;87390
46024;21490;8881;15012;18552;24431;34832;73757
46025;21719;9495;15021;18819;24789;34660;68374
46026;22813;9447;15163;18781;24672;34810;69334
46035;20240;9311;14813;18529;24286;34752;77927
46112;51176;9249;14454;19139;24679;37907;164370
46131, 46135;21137;8114;14985;18455;24643;34856;125201
