2. Subproductos obtenidos del tratamiento de residuos sólidos en las plantas de tratamiento Los Hornillos y Manises. 2022;
;
;Total
Total;144342.94
Botes férricos;6285.0599999999995
Aluminio;2194.3
Chapajo;1442.96
Metales;189.14
Papel y cartón;11688.72
Brik;1263.3
Vidrio;10724.560000000001
Polietileno de alta densidad (PEAD) botellas;1988.06
Polietileno de alta densidad (PEAD) cajas;302.62
Polietileno tereftalato (PET);8131.04
Plásticos mixtos;4104.08
Plásticos films;6287.74
Baterías;24.9
Bioestabilizado;72500.66
Compost;13492.9
Residuos de aparatos eléctricos y electrónicos (RAEEs);354.42
Madera;691.62
Recipientes a presión;10.78
Polipropileno;5.04
Material inerte;55.3
Restos afino valorizado;2605.74
