4. Turismos según tipo de titular por distrito. 2024;;;;;;;;
;;;;;;;;
;Total;Edad media;Particulares;%;Por 100 habitantes;% 10 y más años;% 16 CV y más;Empresas y Organizaciones
Total;353968;13.21;328228;1;39.516690223764336;0.5838959503759582;0.04654995917472001;25740
1. Ciutat Vella;14774;12.84;10762;0.0327881838234398;35.870941937204186;0.560211856532243;0.08464969336554544;4012
2. l'Eixample;20085;13.45;17571;0.05353291005033087;39.369496538280565;0.5704285470377326;0.08866882932104035;2514
3. Extramurs;20958;13.25;19141;0.05831617046687059;37.795944158126495;0.5731675461052191;0.05987148006896192;1817
4. Campanar;17703;12.12;16474;0.05019072108412445;40.261993792311266;0.5471045283476994;0.04582979240014568;1229
5. la Saïdia;19226;13.32;18332;0.055851420354144074;37.88934129756319;0.594152301985599;0.03594806895046913;894
6. el Pla del Real;14785;13.31;13212;0.04025250740339033;42.59187620889749;0.5652437178322737;0.09112927641537996;1573
7. l'Olivereta;19776;13.8;18699;0.056969545559793805;36.32707774798928;0.6263436547408953;0.03663297502540243;1077
8. Patraix;27936;12.43;25631;0.07808901129702524;43.137485904707404;0.5624829308259529;0.031797432796223324;2305
9. Jesús;22566;13.51;21630;0.06589931389156319;40.36803404128252;0.6039297272306982;0.036523347202958856;936
10. Quatre Carreres;32552;13.48;30953;0.09430335011028919;38.563027932125685;0.5959034665460536;0.043162213678803345;1599
11. Poblats Marítims;23398;14.19;22189;0.06760239833286617;39.03558925461358;0.6110234801027536;0.03803686511334445;1209
12. Camins al Grau;27017;12.86;25082;0.07641639348257918;37.184409885401685;0.566621481540547;0.04692608244956543;1935
13. Algirós;16184;13.27;15482;0.047168431699915914;42.69012298020184;0.5838392972484175;0.039852732205141454;702
14. Benimaclet;12503;12.82;11685;0.03560025348233545;40.94110227392173;0.5768934531450578;0.040821566110397944;818
15. Rascanya;21486;13.4;20649;0.06291053779689727;36.416062642188244;0.605985762022374;0.03380308973800184;837
16. Benicalap;20473;12.99;19576;0.05964146873514752;39.03333865050247;0.5744278708622803;0.033663669799754804;897
17. Pobles del Nord;3611;12.74;3438;0.010474426313416284;49.05121986017977;0.5602094240837696;0.05410122164048865;173
18. Pobles de l'Oest;6890;13.55;6601;0.020111020388266693;43.254046261712865;0.6008180578700197;0.03635812755643084;289
19. Pobles del Sud;11056;13.16;10253;0.031237432516421512;46.51363244567436;0.5842192529015898;0.04593777430995806;803
No consta;989;12.51;868;0.0026445032111824707;-;0.4930875576036866;0.0587557603686636;121
