ATA,Descripción,Sentido,IMD Lab.,MES,IMD Laborables
A1,ACCESO BARCELONA (entrada y salida),Entre V-21 y Rotonda,722810833333333.0,ENERO_2025,
A10,PASEO DE LA ALAMEDA,De Pte. Exposición  a Pte. Del Real,322885275.0,ENERO_2025,
A100,EMILIO BARO,De Primado Reig a Alboraya,568020583333333.0,ENERO_2025,
A102,ERNESTO FERRER ,De Cardenal Benlloch a Av. de Aragón,42831825.0,ENERO_2025,
A103,EUGENIA VIÑES ,De Acequia de la cadena a Mediterráneo,391575228333333.0,ENERO_2025,
A104,EUGENIA VIÑES ,Entre Dr. Marcos Sopena y Mediterráneo,715609708333333.0,ENERO_2025,
A105,FILIPINAS,Entre Gibraltar y Peris y Valero,186096732083333.0,ENERO_2025,
A106,FONTANARES ,Entre Archiduque Carlos y Gaspar Aguilar,714166.0,ENERO_2025,
A107,AV. DE FRANCIA,De Tomás de Montañana a Menorca,918101666666667.0,ENERO_2025,
A108,GASCO OLIAG ,De Blasco Ibáñez a Primado Reig,66987425.0,ENERO_2025,
A109,GASPAR AGUILAR ,Entre Fontanares y Tomás de Villarroya,140239925.0,ENERO_2025,
A11,NUEVA ALAMEDA,De Menorca a Tomás de Montañana,7847335.0,ENERO_2025,
A110,GASPAR AGUILAR ,De Jesús a Fontanares,107610941666667.0,ENERO_2025,
A112,GENERAL ELIO ,Entre Blasco Ibáñez y Puente del Real,337884275.0,ENERO_2025,
A113,GENERAL GIL DOLZ ,De Alameda a Amadeo de Saboya,491989416666667.0,ENERO_2025,
A114,AVDA. AMADO GRANELL MESADO (MILITAR),Entre Av. De la Plata y Hermanos Maristas,94483.0,ENERO_2025,
A115,AVDA. AMADO GRANELL MESADO (MILITAR),Entre Peris y Valero y Av. De la Plata,764404041666667.0,ENERO_2025,
A116,GIORGETA ,Entre San Vicente y Jesús,460621341083333.0,ENERO_2025,
A117,FERNANDO EL CATOLICO,Entre Ángel Guimerá y Paseo Pechina,515261280416667.0,ENERO_2025,
A118,GERMANIAS,Entre Ruzafa y Túnel,559686416666667.0,ENERO_2025,
A119,P.I. DE GERMANIAS,Pte. Aragón,487492095833333.0,ENERO_2025,
A12,NUEVA ALAMEDA,Entre Pte. Del Reino y Eduardo Bosca,186946008333333.0,ENERO_2025,
A120,MARQUES DEL TURIA,Entre Hernán Cortés y Ruzafa,590426204166667.0,ENERO_2025,
A121,MARQUES DEL TURIA,Entre Puente Aragón y Hernán Cortés,5285424895.0,ENERO_2025,
A122,RAMON Y CAJAL,Entre Pz. España y Ángel Guimerá,569239497916667.0,ENERO_2025,
A123,GUADALAVIAR ,Entre Sagunto y Av. Constitución,406576361111111.0,ENERO_2025,
A124,GUILLEM DE CASTRO ,De Hospital a Quart,1220208875.0,ENERO_2025,
A126,GUILLEM DE CASTRO ,De Pte. Las Artes a Pte. San José,351637966666667.0,ENERO_2025,
A127,GUILLEM DE CASTRO ,De Quart a Paseo Pechina,127019883333333.0,ENERO_2025,
A128,GUILLEM DE CASTRO ,De Plz. San Agustín a Hospital,260486970833333.0,ENERO_2025,
A13,ALBORAYA,Entre Molinell y Primado Reig,838960583333333.0,ENERO_2025,
A130,HERNAN CORTES ,De Colón a G.V. Marqués del Túria,434802833333333.0,ENERO_2025,
A131,ISABEL DE VILLENA ,De Acequia de la Cadena a Mendizábal,3306166875.0,ENERO_2025,
A132,ISABEL LA CATOLICA ,De G.V. Marqués del Túria a Colón,374481666666667.0,ENERO_2025,
A134,ISLAS CANARIAS ,De Tomás Montañana a Alameda,7202216725.0,ENERO_2025,
A135,J.J. DOMINE ,Entre Av. Del Puerto y Plz. De la Armada Española,194515166666667.0,ENERO_2025,
A136,JACINTO BENAVENTE ,Entre Marqués del Túria y Peris y Valero,33519474537037.0,ENERO_2025,
A137,JAIME BELTRAN ,Entre Gaspar Aguilar y Uruguay,6441885.0,ENERO_2025,
A138,JAIME ROIG ,Entre Blasco Ibáñez y Primado Reig,596131166666667.0,ENERO_2025,
A139,JESUS ,De G.V. Ramón y Cajal a Pérez Galdós,18366425.0,ENERO_2025,
A14,ALBORAYA,De San Pío V a Molinell,100546501.0,ENERO_2025,
A140,JESUS ,De Guillem de Castro a G.V. Ramón y Cajal,105483366666667.0,ENERO_2025,
A141,JOAQUIN BALLESTER ,De Pío XII a Ricardo Micó,794131833333333.0,ENERO_2025,
A142,JOAQUIN BENLLOCH ,Entre Peris y Valero e Isla Cabrera,68193524122807.0,ENERO_2025,
A144,LLANO DE ZAIDIA ,Entre Av. Constitución y Av. Burjasot,436280433333333.0,ENERO_2025,
A145,LORCA ,De Pérez Galdós a Av. Del Cid,170649616666667.0,ENERO_2025,
A146,MAESTRO RODRIGO ,Entre Pte. Campanar y Valle de la Ballestera,418439708333333.0,ENERO_2025,
A147,MAESTRO RODRIGO ,Entre Valle de la Ballestera y General Avilés,444404.0,ENERO_2025,
A148,CARRERA  DE MALILLA,Entre Ronda Sur y Peris Valero,979594630952381.0,ENERO_2025,
A149,CARRERA DE MALILLA,Entre V-30 y Ronda Sur,111680133333333.0,ENERO_2025,
A15,ALCALDE REIG ,De Av. De la Plata a Antiguo Reino de Valencia,378607066666667.0,ENERO_2025,
A152,MANUEL DE FALLA ,De Maestro Rodrigo a Av. Pío Baroja,222422720833333.0,ENERO_2025,
A153,MANUEL SOTO INGENIERO,Entre Pte. De Astilleros a Av. Del Puerto,160746216666667.0,ENERO_2025,
A154,MARQUES DE SOTELO ,Entre Játiva y Plz. Ayuntamiento,540104333333333.0,ENERO_2025,
A155,MATIAS PERELLO ,De Av. Antiguo Reino y Maestro Aguilar,647915791666667.0,ENERO_2025,
A156,MEDITERRANEO,De la Reina a Eugenia Viñes,692583333333333.0,ENERO_2025,
